lever_id,title,lever_type,scope_targets,category_targets,potential_min_pct,potential_central_pct,potential_max_pct,default_start_year,default_duration_years,curve,transfer_low_carbon_ratio,transfer_max_share_shift,capex_by_year,opex_by_year,savings_by_year,headcount_by_year,uncertainty
L01_PUE_Optimization,"PUE optimization (cooling controls, airflow management, AI tuning)",specification,S2,S2C1_Electricity,0.08,0.12,0.15,2025,3,s_curve,,,"{""2025"": 2.0, ""2026"": 1.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.2, ""2026"": 0.2, ""2027"": 0.2, ""2028"": 0.2, ""2029"": 0.2, ""2030"": 0.2, ""2031"": 0.2, ""2032"": 0.2, ""2033"": 0.2, ""2034"": 0.2}","{""2025"": 0.0, ""2026"": 1.5, ""2027"": 3.0, ""2028"": 3.0, ""2029"": 3.0, ""2030"": 3.0, ""2031"": 3.0, ""2032"": 3.0, ""2033"": 3.0, ""2034"": 3.0}","{""2025"": 2.0, ""2026"": 1.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}",medium
L02_Server_Virtualization,Server virtualization & utilization uplift,quantity,"S3,S2","S3C2_CapitalGoods_Servers,S2C1_Electricity",0.1,0.18,0.25,2025,4,s_curve,,,"{""2025"": 3.0, ""2026"": 3.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.5, ""2026"": 0.5, ""2027"": 0.5, ""2028"": 0.5, ""2029"": 0.5, ""2030"": 0.5, ""2031"": 0.5, ""2032"": 0.5, ""2033"": 0.5, ""2034"": 0.5}","{""2025"": 0.0, ""2026"": 1.0, ""2027"": 2.0, ""2028"": 3.5, ""2029"": 3.5, ""2030"": 3.5, ""2031"": 3.5, ""2032"": 3.5, ""2033"": 3.5, ""2034"": 3.5}","{""2025"": 3.0, ""2026"": 2.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}",high
L03_Renewable_PPAs,Renewable electricity procurement (PPAs / green tariffs),transfer,S2,S2C1_Electricity,0.5,0.8,1.0,2026,5,linear,0.05,1.0,"{""2025"": 0.0, ""2026"": 0.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.4, ""2026"": 0.4, ""2027"": 0.4, ""2028"": 0.4, ""2029"": 0.4, ""2030"": 0.4, ""2031"": 0.4, ""2032"": 0.4, ""2033"": 0.4, ""2034"": 0.4}","{""2025"": 0.0, ""2026"": 0.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.0, ""2026"": 1.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}",medium
L04_Onsite_Solar_Storage,Onsite solar + storage at facilities,transfer,S2,S2C1_Electricity,0.05,0.12,0.2,2025,3,s_curve,0.1,0.25,"{""2025"": 5.0, ""2026"": 6.0, ""2027"": 4.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.3, ""2026"": 0.3, ""2027"": 0.3, ""2028"": 0.3, ""2029"": 0.3, ""2030"": 0.3, ""2031"": 0.3, ""2032"": 0.3, ""2033"": 0.3, ""2034"": 0.3}","{""2025"": 0.0, ""2026"": 0.0, ""2027"": 0.8, ""2028"": 1.6, ""2029"": 2.0, ""2030"": 2.0, ""2031"": 2.0, ""2032"": 2.0, ""2033"": 2.0, ""2034"": 2.0}","{""2025"": 1.0, ""2026"": 1.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}",high
L05_LowCarbon_BackupPower,Low-carbon backup power (battery + renewable diesel/HVO as interim),transfer,S1,S1C1_GeneratorsFuel,0.2,0.45,0.6,2026,4,linear,0.2,0.7,"{""2025"": 0.0, ""2026"": 2.0, ""2027"": 1.5, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.2, ""2026"": 0.2, ""2027"": 0.2, ""2028"": 0.2, ""2029"": 0.2, ""2030"": 0.2, ""2031"": 0.2, ""2032"": 0.2, ""2033"": 0.2, ""2034"": 0.2}","{""2025"": 0.0, ""2026"": 0.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.0, ""2026"": 1.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}",medium
L06_Logistics_Optimization,"Inbound logistics optimization (mode shift, consolidation, route planning)",specification,S3,S3C4_UpstreamTransport,0.05,0.1,0.15,2025,2,linear,,,"{""2025"": 0.5, ""2026"": 0.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.1, ""2026"": 0.1, ""2027"": 0.1, ""2028"": 0.1, ""2029"": 0.1, ""2030"": 0.1, ""2031"": 0.1, ""2032"": 0.1, ""2033"": 0.1, ""2034"": 0.1}","{""2025"": 0.0, ""2026"": 0.4, ""2027"": 0.6, ""2028"": 0.8, ""2029"": 0.8, ""2030"": 0.8, ""2031"": 0.8, ""2032"": 0.8, ""2033"": 0.8, ""2034"": 0.8}","{""2025"": 1.0, ""2026"": 0.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}",low
L07_Sustainable_Procurement,Sustainable procurement (supplier standards + lower-carbon materials),specification,S3,S3C1_PurchasedGoods,0.05,0.12,0.18,2026,5,s_curve,,,"{""2025"": 0.0, ""2026"": 0.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.0, ""2026"": 0.5, ""2027"": 0.7, ""2028"": 0.9, ""2029"": 1.0, ""2030"": 1.0, ""2031"": 1.0, ""2032"": 1.0, ""2033"": 1.0, ""2034"": 1.0}","{""2025"": 0.0, ""2026"": 0.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.0, ""2026"": 1.0, ""2027"": 1.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}",high
L08_Travel_Demand_Reduction,Business travel reduction (virtual-first policy + trip bundling),quantity,S3,S3C6_BusinessTravel,0.15,0.3,0.4,2025,1,linear,,,"{""2025"": 0.1, ""2026"": 0.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.0, ""2026"": 0.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.8, ""2026"": 1.2, ""2027"": 1.5, ""2028"": 1.5, ""2029"": 1.5, ""2030"": 1.5, ""2031"": 1.5, ""2032"": 1.5, ""2033"": 1.5, ""2034"": 1.5}","{""2025"": 0.0, ""2026"": 0.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}",low
L09_Commuting_Shift,Employee commuting shift (hybrid work + EV incentives + public transit),transfer,S3,S3C7_Commuting,0.1,0.2,0.3,2025,2,linear,0.6,0.6,"{""2025"": 0.3, ""2026"": 0.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.2, ""2026"": 0.2, ""2027"": 0.2, ""2028"": 0.2, ""2029"": 0.2, ""2030"": 0.2, ""2031"": 0.2, ""2032"": 0.2, ""2033"": 0.2, ""2034"": 0.2}","{""2025"": 0.0, ""2026"": 0.2, ""2027"": 0.3, ""2028"": 0.3, ""2029"": 0.3, ""2030"": 0.3, ""2031"": 0.3, ""2032"": 0.3, ""2033"": 0.3, ""2034"": 0.3}","{""2025"": 1.0, ""2026"": 0.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}",medium
L10_Waste_Circularity,"Waste reduction & circularity (recycling, reuse, vendor take-back)",specification,S3,S3C5_Waste,0.2,0.4,0.6,2025,2,s_curve,,,"{""2025"": 0.2, ""2026"": 0.1, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}","{""2025"": 0.05, ""2026"": 0.05, ""2027"": 0.05, ""2028"": 0.05, ""2029"": 0.05, ""2030"": 0.05, ""2031"": 0.05, ""2032"": 0.05, ""2033"": 0.05, ""2034"": 0.05}","{""2025"": 0.0, ""2026"": 0.05, ""2027"": 0.1, ""2028"": 0.1, ""2029"": 0.1, ""2030"": 0.1, ""2031"": 0.1, ""2032"": 0.1, ""2033"": 0.1, ""2034"": 0.1}","{""2025"": 1.0, ""2026"": 0.0, ""2027"": 0.0, ""2028"": 0.0, ""2029"": 0.0, ""2030"": 0.0, ""2031"": 0.0, ""2032"": 0.0, ""2033"": 0.0, ""2034"": 0.0}",medium
